COL.,DATA TYPE  ,,,,,,,,,,,,,,,
1,Date Time (AST),,,,,,,,,,,,,,,
2,0-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
3,5-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
4,10-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
5,15-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
6,20-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
7,40-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
8,60-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
9,80-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
10,100-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
11,120-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
12,135-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
13,150-cm Depth Soil Temperature (degrees C),,,,,,,,,,,,,,,
,"NOTE:,6999 DENOTES MISSING DATA OR INVALID DATA",,,,,,,,,,,,,,,
,",7777 DENOTES UNCOLLECTED DATA ",,,,,,,,,,,,,,,
ID,Year,Month,Day,Hour,Depth.0.cm,Depth.5.cm,Depth.10.cm,Depth.15.cm,Depth.20.cm,Depth.40.cm,Depth.60.cm,Depth.80.cm,Depth.100.cm,Depth.120.cm,Depth.135.cm,Depth.150.cm
1,2011,1,1,0,-6.752,-4.94,-5.061,-4.401,-3.698,-2.014,0.041,-0.215,7777,-0.525,-0.577,-0.995
2,2011,1,1,1,-6.727,-4.916,-5.098,-4.378,-3.733,-1.993,0.01,-0.195,7777,-0.505,-0.608,-1.028
3,2011,1,1,2,-6.726,-4.916,-5.098,-4.377,-3.733,-1.992,0.01,-0.195,7777,-0.504,-0.608,-1.027
4,2011,1,1,3,-6.651,-4.905,-5.026,-4.367,-3.723,-2.037,0.02,-0.236,7777,-0.546,-0.598,-1.017
5,2011,1,1,4,-6.671,-4.863,-5.045,-4.385,-3.683,-2.053,0.004,-0.2,7777,-0.51,-0.614,-0.98
6,2011,1,1,5,-6.627,-4.882,-5.003,-4.344,-3.701,-2.016,0.04,-0.165,7777,-0.526,-0.578,-0.997
7,2011,1,1,6,-6.579,-4.837,-5.019,-4.359,-3.657,-2.029,0.078,-0.177,7777,-0.487,-0.591,-1.01
8,2011,1,1,7,-6.588,-4.846,-5.027,-4.368,-3.665,-2.037,0.071,-0.184,7777,-0.494,-0.598,-1.017
9,2011,1,1,8,-6.61,-4.866,-5.048,-4.388,-3.685,-2.055,0.055,-0.201,7777,-0.511,-0.615,-1.034
10,2011,1,1,9,-6.616,-4.871,-5.053,-4.393,-3.69,-2.06,0.05,-0.205,7777,-0.515,-0.619,-1.039
11,2011,1,1,10,-6.68,-4.871,-5.053,-4.393,-3.69,-2.059,0.05,-0.205,7777,-0.515,-0.619,-1.039
12,2011,1,1,11,-6.68,-4.871,-5.053,-4.393,-3.69,-2.06,0.05,-0.205,7777,-0.515,-0.619,-0.986
13,2011,1,1,12,-6.723,-4.912,-5.033,-4.373,-3.729,-2.096,0.016,-0.189,7777,-0.498,-0.602,-1.022
14,2011,1,1,13,-6.736,-4.924,-5.045,-4.385,-3.741,-2.108,0.004,-0.2,7777,-0.562,-0.614,-0.98
15,2011,1,1,14,-6.8,-4.924,-5.045,-4.385,-3.741,-2.108,0.004,-0.2,7777,-0.51,-0.614,-0.98
16,2011,1,1,15,-6.8,-4.924,-5.045,-4.385,-3.741,-2.108,-0.047,-0.2,7777,-0.562,-0.614,-1.033
17,2011,1,1,16,-6.775,-4.961,-5.082,-4.422,-3.776,-2.142,-0.027,-0.232,7777,-0.542,-0.594,-1.013
18,2011,1,1,17,-6.791,-4.976,-5.098,-4.378,-3.733,-2.102,0.01,-0.195,7777,-0.505,-0.608,-1.028
19,2011,1,1,18,-6.791,-4.976,-5.098,-4.437,-3.733,-2.102,0.01,-0.195,7777,-0.505,-0.608,-1.028
20,2011,1,1,19,-6.784,-4.97,-5.091,-4.43,-3.785,-2.15,-0.036,-0.189,7777,-0.551,-0.603,-1.022
21,2011,1,1,20,-6.697,-4.949,-5.071,-4.41,-3.766,-2.132,-0.019,-0.224,7777,-0.534,-0.586,-1.004
22,2011,1,1,21,-6.691,-4.943,-5.064,-4.404,-3.76,-2.127,-0.014,-0.219,7777,-0.529,-0.581,-0.999
23,2011,1,1,22,-6.69,-4.943,-5.064,-4.404,-3.759,-2.181,-0.014,-0.219,7777,-0.528,-0.58,-0.999
24,2011,1,1,23,-6.606,-4.924,-5.045,-4.445,-3.741,-2.165,-0.049,-0.203,7777,-0.513,-0.616,-0.983
25,2011,1,2,0,-6.589,-4.908,-5.09,-4.429,-3.784,-2.15,-0.036,-0.241,7777,-0.551,-0.603,-1.022
26,2011,1,2,1,-6.534,-4.857,-5.099,-4.379,-3.793,-2.159,-0.045,-0.199,7777,-0.508,-0.612,-1.031
27,2011,1,2,2,-6.569,-4.83,-5.072,-4.412,-3.768,-2.19,-0.023,-0.228,7777,-0.537,-0.589,-1.008
28,2011,1,2,3,-6.507,-4.833,-5.014,-4.415,-3.77,-2.193,-0.027,-0.231,7777,-0.541,-0.593,-1.011
29,2011,1,2,4,-6.436,-4.827,-5.068,-4.409,-3.765,-2.188,-0.074,-0.227,7777,-0.537,-0.589,-1.007
30,2011,1,2,5,-6.417,-4.808,-5.049,-4.391,-3.747,-2.227,-0.059,-0.212,7777,-0.521,-0.625,-0.991
31,2011,1,2,6,-6.384,-4.777,-5.018,-4.419,-3.775,-2.199,-0.033,-0.238,7777,-0.547,-0.599,-1.017
32,2011,1,2,7,-6.355,-4.751,-4.992,-4.394,-3.75,-2.23,-0.063,-0.217,7777,-0.526,-0.578,-0.996
33,2011,1,2,8,-6.412,-4.745,-5.046,-4.388,-3.803,-2.226,-0.111,-0.264,7777,-0.574,-0.626,-1.044
34,2011,1,2,9,-6.329,-4.729,-4.969,-4.372,-3.788,-2.214,-0.103,-0.205,7777,-0.513,-0.617,-1.034
35,2011,1,2,10,-6.247,-4.713,-4.953,-4.357,-3.773,-2.201,-0.092,-0.194,7777,-0.502,-0.605,-1.023
36,2011,1,2,11,-6.182,-4.65,-4.949,-4.353,-3.77,-2.197,-0.087,-0.189,7777,-0.497,-0.6,-1.018
